Language,original
str_cfgvehicles_leathershoes_beige0,$UNT$Fancy leather beige coloured shoes suited for office work or social events. The leather sole provides good slide for dancing.
str_cfgvehicles_leathermoccasinsshoes_natural0,$UNT$Moccasins Shoes are made from the tanned hide of various animals.
str_cfgvehicles_leathermoccasinsshoes_colorbase1,$UNT$Moccasins Shoes are made from the tanned hide of various animals.
str_cfgvehicles_leathermoccasinsshoes_colorbase0,$UNT$Leather Moccasins Shoes
str_cfgvehicles_leathermoccasinsshoes_brown0,$UNT$Moccasins Shoes are made from the tanned hide of various animals. These are brown coloured.
str_cfgvehicles_leathermoccasinsshoes_black0,$UNT$Moccasins Shoes are made from the tanned hide of various animals. These are black coloured.
str_cfgvehicles_leathermoccasinsshoes_beige0,$UNT$Moccasins Shoes are made from the tanned hide of various animals. These are beige coloured.
str_cfgvehicles_jungleboots_olive0,"$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are olive coloured."
str_cfgvehicles_jungleboots_green0,"$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are green coloured."
str_cfgvehicles_jungleboots_colorbase1,"Type of durable combat boots, designed for use in wet and humid environments."
str_cfgvehicles_jungleboots_colorbase0,Jungle Boots
str_cfgvehicles_jungleboots_brown0,"$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are brown coloured."
str_cfgvehicles_jungleboots_black0,"$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are black coloured."
str_cfgvehicles_jungleboots_beige0,"$UNT$A type of combat boots designed for use in jungle warfare or in hot, wet and humid environments. They have vent holes in the instep and a canvas upper to aid in ventilation and drainage of moisture. These are beige coloured."
str_cfgvehicles_joggingshoes_white0,$UNT$White coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.
str_cfgvehicles_joggingshoes_violet0,$UNT$Violet coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.
str_cfgvehicles_joggingshoes_red0,$UNT$Red coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.
str_cfgvehicles_joggingshoes_colorbase1,"Shoes designed for running. Not very suitable for difficult terrain, nor for rainy weather."
str_cfgvehicles_joggingshoes_colorbase0,Running Shoes
str_cfgvehicles_joggingshoes_blue0,$UNT$Blue coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.
str_cfgvehicles_joggingshoes_black0,$UNT$Black coloured shoes designed for casual running with a durable rubber outsole and a lightweight synthetic fabric/mesh upper.
str_cfgvehicles_hikingbootslow_grey0,"$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are grey coloured."
str_cfgvehicles_hikingbootslow_colorbase1,"Versatile boots, with their design making them the middle ground between hiking boots and athletic shoes."
str_cfgvehicles_hikingbootslow_colorbase0,Trail Shoes
str_cfgvehicles_hikingbootslow_blue0,"$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are blue coloured."
str_cfgvehicles_hikingbootslow_black0,"$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are black coloured."
str_cfgvehicles_hikingbootslow_beige0,"$UNT$A versatile boot featuring a toe guard, a hard-wearing rubber outsole and a lightweight upper making it the middle ground between a hiking boot and an athletic shoe. These are beige coloured."
str_cfgvehicles_hikingboots_colorbase1,"Highly durable, water resistant boots, designed to protect the feet and ankles during all types of outdoor activities."
str_cfgvehicles_hikingboots_colorbase0,Hiking Boots
str_cfgvehicles_hikingboots_brown0,"$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are brown coloured."
str_cfgvehicles_hikingboots_black0,"$UNT$A highly durable leather lined, water resistant boot specifically constructed to protect the feet and ankles from damage or strain during all types of outdoor activities. These are black coloured."
str_cfgvehicles_femalefeetabove0,$UNT$Bare feet above female
str_cfgvehicles_combatboots_grey0,"$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured."
str_cfgvehicles_combatboots_green0,"$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured."
str_cfgvehicles_combatboots_colorbase1,Leather and canvas boots. They provide ankle stability and protect the feet while on rough terrain.
str_cfgvehicles_combatboots_colorbase0,Hunter Boots
str_cfgvehicles_combatboots_brown0,"$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured."
str_cfgvehicles_combatboots_black0,"$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured."
str_cfgvehicles_combatboots_beige0,"$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured."
str_cfgvehicles_ballerinas_yellow0,$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.
str_cfgvehicles_ballerinas_white0,$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.
str_cfgvehicles_ballerinas_red0,$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.
str_cfgvehicles_ballerinas_colorbase1,"Low women's shoes, part of a formal outfit. Impractical, but look attractive and easy on the feet."
str_cfgvehicles_ballerinas_colorbase0,Flat Shoes
str_cfgvehicles_ballerinas_blue0,$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.
str_cfgvehicles_athleticshoes_grey0,$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.
str_cfgvehicles_athleticshoes_green0,$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.
str_cfgvehicles_athleticshoes_colorbase1,"All-terrain shoes, designed to protect the feet during everyday activities."
str_cfgvehicles_athleticshoes_colorbase0,Athletic Shoes
str_cfgvehicles_athleticshoes_brown0,$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.
str_cfgvehicles_athleticshoes_blue0,$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.
str_cfgvehicles_athleticshoes_black0,$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.
str_cfgvehicles_athleticshoesabove0,$UNT$AthleticShoesAbove male model only so far
str_cfgvehicles_dressshoes_colorbase0,Dress Shoes
str_cfgvehicles_dressshoes_colorbase1,"Shoes, part of men's formal outfit. Strangely enough, they go well with tracksuits."
str_cfgvehicles_ttskoboots0,Combat Boots
str_cfgvehicles_ttskoboots1,Military boots. They provide a combination of grip and stability suitable for a rugged environment.
str_maletorso_baseabove0,$UNT$Underwear top above
str_maletorso_base0,$UNT$Underwear top
str_femaletorso_baseabove0,$UNT$Underwear top above female
str_femaletorso_base0,$UNT$Underwear top
str_cfgvehicles_woolcoat_redcheck0,$UNT$This red check coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_red0,$UNT$This red coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_greycheck0,$UNT$This grey check coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_green0,$UNT$This green coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_colorbase1,Heavy wool coat. Looks classy while keeping the wearer warm.
str_cfgvehicles_woolcoat_colorbase0,Pea Coat
str_cfgvehicles_woolcoat_browncheck0,$UNT$This brown check coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_bluecheck0,$UNT$This blue check coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_blue0,$UNT$This blue coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_blackcheck0,$UNT$This black check coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_black0,$UNT$This black coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_woolcoat_beige0,$UNT$This beige coloured wool coat keeps you looking classy while staying warm.
str_cfgvehicles_usmcjacket_colorbase0,CUU Jacket
str_cfgvehicles_ttskojacket_colorbase1,"Three color camouflage military jacket, offers quick access to large cargo pockets. Also offers decent protection from the elements."
str_cfgvehicles_ttskojacket_colorbase0,Combat Jacket
str_cfgvehicles_ttskojacket_camo0,"$UNT$Three colour camouflage Soviet military field jacket, designed for quick and easy access to large cargo pockets."
str_cfgvehicles_tshirt_dyed1,$UNT$Hand-dyed T-Shirt. Who said those Arts & Crafts lessons were useless? Made in China.
str_cfgvehicles_tshirt_dyed0,$UNT$Dyed T-Shirt
str_cfgvehicles_tshirt_colorbase1,Short sleeve T-Shirt with round neck line and a regular fit. Nothing special.
str_cfgvehicles_tshirt_colorbase0,T-Shirt
str_cfgvehicles_tracksuitjacket_red0,"$UNT$Casual red coloured jacket intended for comfort or athletic purposes, although it's now worn in many different situations. Because of its comfort and fashionable varieties, it has become one of the most commonly worn items of clothing."
str_cfgvehicles_tracksuitjacket_lightblue0,"$UNT$Casual light blue coloured jacket intended for comfort or athletic purposes, although it's now worn in many different situations. Because of its comfort and fashionable varieties, it has become one of the most commonly worn items of clothing."
str_cfgvehicles_tracksuitjacket_green0,"$UNT$Casual green coloured jacket intended for comfort or athletic purposes, although it's now worn in many different situations. Because of its comfort and fashionable varieties, it has become one of the most commonly worn items of clothing."
str_cfgvehicles_tracksuitjacket_colorbase1,"Casual jacket, designed for comfort and athletic purposes. It has become one of the most commonly worn items of clothing in the world."
str_cfgvehicles_tracksuitjacket_colorbase0,Tracksuit Jacket
str_cfgvehicles_tracksuitjacket_blue0,"$UNT$Casual blue coloured jacket intended for comfort or athletic purposes, although it's now worn in many different situations. Because of its comfort and fashionable varieties, it has become one of the most commonly worn items of clothing."
str_cfgvehicles_tracksuitjacket_black0,"$UNT$Casual black coloured jacket intended for comfort or athletic purposes, although it's now worn in many different situations. Because of its comfort and fashionable varieties, it has become one of the most commonly worn items of clothing."
str_cfgvehicles_tacticalshirt_tan0,"$UNT$A lightweight tan jacket used by the military that is wind proof and water resistant. Features two large front pockets, two upper arm pockets and closable Velcro cuffs."
str_cfgvehicles_usmcjacket_woodland1,$UNT$U.S. Marine Corps' jacket made according to the MCCU specifications in Marpat USMC Digital Woodland camouflage.
str_cfgvehicles_tacticalshirt_olive0,"$UNT$A lightweight olive jacket used by the military that is wind proof and water resistant. Features two large front pockets, two upper arm pockets and closable Velcro cuffs."
str_cfgvehicles_usmcjacket_desert1,$UNT$U.S. Marine Corps' jacket made according to the MCCU specifications in Marpat USMC Digital Desert camouflage.
str_cfgvehicles_tacticalshirt_grey0,"$UNT$A lightweight grey jacket used by the military that is wind proof and water resistant. Features two large front pockets, two upper arm pockets and closable Velcro cuffs."
str_cfgvehicles_tacticalshirt_colorbase1,A lightweight windproof and water resistant jacket. Originally worn by military under the vest.
str_cfgvehicles_tacticalshirt_colorbase0,Tactical Shirt
str_cfgvehicles_tacticalshirt_black0,"$UNT$A lightweight black jacket used by the military that is wind proof and water resistant. Features two large front pockets, two upper arm pockets and closable Velcro cuffs."
str_cfgvehicles_sweater_red0,"$UNT$Thick red cloured sweater made out of wool with long sleeves, can be washed in washing machine. This piece of clothing is very warm, but also very prone to get wet from humidity."
str_cfgvehicles_sweater_green0,"$UNT$Thick green cloured sweater made out of wool with long sleeves, can be washed in washing machine. This piece of clothing is very warm, but also very prone to get wet from humidity."
str_cfgvehicles_sweater_gray0,"$UNT$Thick gray cloured sweater made out of wool with long sleeves, can be washed in washing machine. This piece of clothing is very warm, but also very prone to get wet from humidity."
str_cfgvehicles_sweater_colorbase1,"Thick long-sleeved wool sweater. It is very warm, very absorbent, and itchy as hell. Machine washable."
str_cfgvehicles_sweater_colorbase0,Sweater
str_cfgvehicles_sweater_blue0,"$UNT$Thick blue cloured sweater made out of wool with long sleeves, can be washed in washing machine. This piece of clothing is very warm, but also very prone to get wet from humidity."
str_cfgvehicles_shirt_whitechecknewanimsystem0,"$UNT$A white coloured common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton."
str_cfgvehicles_shirt_whitecheck0,"$UNT$A white coloured common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton."
str_cfgvehicles_shirt_redcheck0,"$UNT$A red coloured common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton."
str_cfgvehicles_shirt_planeblack0,"$UNT$A black coloured common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton."
str_cfgvehicles_shirt_greencheck0,"$UNT$A green coloured common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton."
str_cfgvehicles_shirt_colorbase1,"A common long-sleeved, button up, cloth garment for the upper body made from polyester and cotton."
str_cfgvehicles_shirt_colorbase0,Shirt
str_cfgvehicles_shirt_bluecheckbright0,"$UNT$A bright blue coloured common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton."
str_cfgvehicles_shirt_bluecheck0,"$UNT$A blue coloured common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton."
str_cfgvehicles_ridersjacket_colorbase1,"Classic motorcycle leather jacket, rugged, durable and protective. Not to mention badass."
str_cfgvehicles_ridersjacket_colorbase0,Rider Jacket
str_cfgvehicles_ridersjacket_black0,"$UNT$Classic motorcycle ultra-rugged leather jacket, durable and protective."
str_cfgvehicles_raincoat_yellow0,"$UNT$A simple yellow jacket constructed from breathable, water resistant fabrics. Includes a hood and extended collar to protect the head and upper body from rain."
str_cfgvehicles_raincoat_red0,"$UNT$A simple red jacket constructed from breathable, water resistant fabrics. Includes a hood and extended collar to protect the head and upper body from rain."
str_cfgvehicles_raincoat_pink0,"$UNT$A simple pink jacket constructed from breathable, water resistant fabrics. Includes a hood and extended collar to protect the head and upper body from rain."
str_cfgvehicles_raincoat_orange0,"$UNT$A simple orange jacket constructed from breathable, water resistant fabrics. Includes a hood and extended collar to protect the head and upper body from rain."
str_cfgvehicles_raincoat_green0,"$UNT$A simple green jacket constructed from breathable, water resistant fabrics. Includes a hood and extended collar to protect the head and upper body from rain."
str_cfgvehicles_raincoat_colorbase1,A jacket made from water resistant fabric with extended collar and hood. Helps to protect upper body from rain.
str_cfgvehicles_raincoat_colorbase0,Raincoat
str_cfgvehicles_raincoat_blue0,"$UNT$A simple blue jacket constructed from breathable, water resistant fabrics. Includes a hood and extended collar to protect the head and upper body from rain."
str_cfgvehicles_raincoat_black0,"$UNT$A simple black jacket constructed from breathable, water resistant fabrics. Includes a hood and extended collar to protect the head and upper body from rain."
str_cfgvehicles_quiltedjacket_yellow0,"$UNT$Highly compressible puffer yellow jacket, outfitted with ParadaTeplo Insulation that offers lightweight warmth while maintaining performance in wet conditions. Elastic binding at the cuffs works with a cinch-cord hem to keep cold air out, and the ultra-light jacket stows in its own pocket so it's easy to bring with you on any adventure where you might run into unpredictable weather conditions."
str_cfgvehicles_quiltedjacket_violet0,"$UNT$Highly compressible puffer violet jacket, outfitted with ParadaTeplo Insulation that offers lightweight warmth while maintaining performance in wet conditions. Elastic binding at the cuffs works with a cinch-cord hem to keep cold air out, and the ultra-light jacket stows in its own pocket so it's easy to bring with you on any adventure where you might run into unpredictable weather conditions."
str_cfgvehicles_quiltedjacket_red0,"$UNT$Highly compressible puffer red jacket, outfitted with ParadaTeplo Insulation that offers lightweight warmth while maintaining performance in wet conditions. Elastic binding at the cuffs works with a cinch-cord hem to keep cold air out, and the ultra-light jacket stows in its own pocket so it's easy to bring with you on any adventure where you might run into unpredictable weather conditions."
str_cfgvehicles_quiltedjacket_orange0,"$UNT$Highly compressible puffer orange jacket, outfitted with ParadaTeplo Insulation that offers lightweight warmth while maintaining performance in wet conditions. Elastic binding at the cuffs works with a cinch-cord hem to keep cold air out, and the ultra-light jacket stows in its own pocket so it's easy to bring with you on any adventure where you might run into unpredictable weather conditions."
str_cfgvehicles_quiltedjacket_grey0,"$UNT$Highly compressible puffer grey jacket, outfitted with ParadaTeplo Insulation that offers lightweight warmth while maintaining performance in wet conditions. Elastic binding at the cuffs works with a cinch-cord hem to keep cold air out, and the ultra-light jacket stows in its own pocket so it's easy to bring with you on any adventure where you might run into unpredictable weather conditions."
str_cfgvehicles_quiltedjacket_green0,"$UNT$Highly compressible puffer green jacket, outfitted with ParadaTeplo Insulation that offers lightweight warmth while maintaining performance in wet conditions. Elastic binding at the cuffs works with a cinch-cord hem to keep cold air out, and the ultra-light jacket stows in its own pocket so it's easy to bring with you on any adventure where you might run into unpredictable weather conditions."
str_cfgvehicles_quiltedjacket_colorbase1,"Highly compressible puffer jacket. Protects from cold very well, but suffers from low water resistance."
str_cfgvehicles_quiltedjacket_colorbase0,Quilted Jacket
str_cfgvehicles_quiltedjacket_blue0,"$UNT$Highly compressible puffer blue jacket, outfitted with ParadaTeplo Insulation that offers lightweight warmth while maintaining performance in wet conditions. Elastic binding at the cuffs works with a cinch-cord hem to keep cold air out, and the ultra-light jacket stows in its own pocket so it's easy to bring with you on any adventure where you might run into unpredictable weather conditions."
str_cfgvehicles_quiltedjacket_black0,"$UNT$Highly compressible puffer black jacket, outfitted with ParadaTeplo Insulation that offers lightweight warmth while maintaining performance in wet conditions. Elastic binding at the cuffs works with a cinch-cord hem to keep cold air out, and the ultra-light jacket stows in its own pocket so it's easy to bring with you on any adventure where you might run into unpredictable weather conditions."
str_cfgvehicles_prisonuniformjacket1,"Standard issue prisoner uniform jacket. It makes you stand out in the crowd, it is not very warm or practical."
str_cfgvehicles_prisonuniformjacket0,Prisoner Jacket
str_cfgvehicles_policejacketorel1,Uniform jacket of the OREL special police force unit. Somewhat warm and comfortable.
str_cfgvehicles_policejacketorel0,OREL Police Jacket
str_cfgvehicles_policejacket1,Standard issue police force uniform jacket. Quite warm and comfortable.
str_cfgvehicles_policejacket0,Police Jacket
str_cfgvehicles_paramedicjacket_green0,$UNT$Standard issue of Chernarus paramedic jacket. This is green coloured.
str_cfgvehicles_paramedicjacket_crimson0,$UNT$Standard issue of Chernarus paramedic jacket. This is crimson coloured.
str_cfgvehicles_paramedicjacket_colorbase1,"Standard issue paramedic jacket. Not that different from any other work apparel, except for the bright, reflective stripes."
str_cfgvehicles_paramedicjacket_colorbase0,Paramedic Jacket
str_cfgvehicles_paramedicjacket_blue0,$UNT$Standard issue of Chernarus paramedic jacket. This is blue coloured.
str_cfgvehicles_nursedress_white0,$UNT$Classic white coloured nurse dress with multiple pockets.
str_cfgvehicles_nursedress_colorbase1,Classic nurse dress with short skirt and multiple pockets. Comes in multiple color variants.
str_cfgvehicles_nursedress_colorbase0,Nurse Dress
str_cfgvehicles_nursedress_blue0,$UNT$Classic blue coloured nurse dress with multiple pockets.
str_cfgvehicles_nbcjacketbase1,"As part of 'Nuclear, Biological, Chemical' suit, jacket is very important for successfully traversing contaminated areas."
str_cfgvehicles_nbcjacketbase0,NBC Jacket
str_cfgvehicles_minidress_whitechecker0,$UNT$Comfortable and warm white check coloured wool dress. Will keep you warm and pretty.
str_cfgvehicles_minidress_redchecker0,$UNT$Comfortable and warm red check coloured wool dress. Will keep you warm and pretty.
str_cfgvehicles_minidress_pinkchecker0,$UNT$Comfortable and warm pink check coloured wool dress. Will keep you warm and pretty.
str_cfgvehicles_minidress_pink0,$UNT$Comfortable and warm pink coloured wool dress. Will keep you warm and pretty.
str_cfgvehicles_minidress_greenchecker0,$UNT$Comfortable and warm green check coloured wool dress. Will keep you warm and pretty.
str_cfgvehicles_minidress_colorbase1,Comfortable women’s dress. Will keep you looking pretty in any situation.
str_cfgvehicles_minidress_colorbase0,Collar Dress
str_cfgvehicles_minidress_brownchecker0,$UNT$Comfortable and warm brown check coloured wool dress. Will keep you warm and pretty.
str_cfgvehicles_minidress_bluewithdots0,$UNT$Comfortable and warm blue coloured wool dress. Will keep you warm and pretty.
str_cfgvehicles_minidress_bluechecker0,$UNT$Comfortable and warm blue check coloured wool dress. Will keep you warm and pretty.
str_cfgvehicles_medicalscrubsshirt_white0,"$UNT$Scrubs are the shirts and trousers or gowns worn by surgeons, midwives and other operating room personnel when sterilizing themselves, or 'scrubbing in', before surgery. They are designed to be simple with minimal places for contaminants to hide, easy to launder, and cheap to replace if damaged or stained irreparably. This shirt is white coloured."
str_cfgvehicles_medicalscrubsshirt_green0,"$UNT$Scrubs are the shirts and trousers or gowns worn by surgeons, midwives and other operating room personnel when sterilizing themselves, or 'scrubbing in', before surgery. They are designed to be simple with minimal places for contaminants to hide, easy to launder, and cheap to replace if damaged or stained irreparably. This shirt is green coloured."
str_cfgvehicles_medicalscrubsshirt_colorbase1,"Part of medical scrubs, this shirt offers little protection from damage or cold. Can be used to scare people who are afraid of doctors."
str_cfgvehicles_medicalscrubsshirt_colorbase0,Scrub T-Shirt
str_cfgvehicles_medicalscrubsshirt_blue0,"$UNT$Scrubs are the shirts and trousers or gowns worn by surgeons, midwives and other operating room personnel when sterilizing themselves, or 'scrubbing in', before surgery. They are designed to be simple with minimal places for contaminants to hide, easy to launder, and cheap to replace if damaged or stained irreparably. This shirt is blue coloured."
str_cfgvehicles_m65jacket_tan0,$UNT$A tan coloured M-65 Field Jacket is a popular field jacket initially designed for the US military under the MIL-C-43455J standard jacket of Second World War design. The frontmost portion of the jacket has two large hip pockets and two medium-sized breast pockets.
str_cfgvehicles_m65jacket_olive0,$UNT$An olive coloured M-65 Field Jacket is a popular field jacket initially designed for the US military under the MIL-C-43455J standard jacket of Second World War design. The frontmost portion of the jacket has two large hip pockets and two medium-sized breast pockets.
str_cfgvehicles_m65jacket_khaki0,$UNT$A khaki coloured M-65 Field Jacket is a popular field jacket initially designed for the US military under the MIL-C-43455J standard jacket of Second World War design. The frontmost portion of the jacket has two large hip pockets and two medium-sized breast pockets.
str_cfgvehicles_m65jacket_colorbase1,"Model designed for military use, this classic piece of clothing is both durable and comfortable to wear. Not to mention warm."
str_cfgvehicles_m65jacket_colorbase0,Field Jacket
str_cfgvehicles_m65jacket_black0,$UNT$A black coloured M-65 Field Jacket is a popular field jacket initially designed for the US military under the MIL-C-43455J standard jacket of Second World War design. The frontmost portion of the jacket has two large hip pockets and two medium-sized breast pockets.
str_cfgvehicles_leatherjacket_natural0,$UNT$Leather Jacket is made from the tanned hide of various animals.
str_cfgvehicles_leatherjacket_colorbase1,"Leather Jacket made from tanned animal hide. Offers protection from harm, and decent thermal comfort."
str_cfgvehicles_leatherjacket_colorbase0,Leather Jacket
str_cfgvehicles_leatherjacket_brown0,$UNT$Leather Jacket is made from the tanned hide of various animals. This is brown coloured.
str_cfgvehicles_leatherjacket_black0,$UNT$Leather Jacket is made from the tanned hide of various animals. This is black coloured.
str_cfgvehicles_leatherjacket_beige0,$UNT$Leather Jacket is made from the tanned hide of various animals. This is beige coloured.
str_cfgvehicles_labcoat1,"A white colored laboratory coat made from cotton. Can be worn with glasses, to make you look smarter."
str_cfgvehicles_labcoat0,Lab Coat
str_cfgvehicles_huntingjacket_colorbase0,Hunter Jacket
str_cfgvehicles_hoodie_red0,"$UNT$Making use of an adjustable drawstring hood, vertical zipper and a large pocket located in the front, this red coloured hooded sweatshirt provides ideal protection from the elements."
str_cfgvehicles_hoodie_grey0,"$UNT$Making use of an adjustable drawstring hood, vertical zipper and a large pocket located in the front, this grey coloured hooded sweatshirt provides ideal protection from the elements."
str_cfgvehicles_hoodie_green0,"$UNT$Making use of an adjustable drawstring hood, vertical zipper and a large pocket located in the front, this green coloured hooded sweatshirt provides ideal protection from the elements."
str_cfgvehicles_hoodie_colorbase1,Hooded sweatshirt with vertical zipper and a large pocket provides decent protection from the elements.
str_cfgvehicles_hoodie_colorbase0,Hoodie
str_cfgvehicles_hoodie_brown0,"$UNT$Making use of an adjustable drawstring hood, vertical zipper and a large pocket located in the front, this brown coloured hooded sweatshirt provides ideal protection from the elements."
str_cfgvehicles_hoodie_blue0,"$UNT$Making use of an adjustable drawstring hood, vertical zipper and a large pocket located in the front, this blue coloured hooded sweatshirt provides ideal protection from the elements."
str_cfgvehicles_hoodie_black0,"$UNT$Making use of an adjustable drawstring hood, vertical zipper and a large pocket located in the front, this black coloured hooded sweatshirt provides ideal protection from the elements."
str_cfgvehicles_hikingjacket_red0,"$UNT$A lightweight red jacket that is wind proof and water resistant. Features two large front pockets, two upper arm pockets and closable Velcro cuffs."
str_cfgvehicles_hikingjacket_green0,"$UNT$A lightweight green jacket that is wind proof and water resistant. Features two large front pockets, two upper arm pockets and closable Velcro cuffs."
str_cfgvehicles_hikingjacket_colorbase1,A lightweight windproof and water resistant jacket. Favored by hikers all around the world.
str_cfgvehicles_hikingjacket_colorbase0,Hiking Jacket
str_cfgvehicles_hikingjacket_blue0,"$UNT$A lightweight blue jacket that is wind proof and water resistant. Features two large front pockets, two upper arm pockets and closable Velcro cuffs."
str_cfgvehicles_hikingjacket_black0,"$UNT$A lightweight black jacket that is wind proof and water resistant. Features two large front pockets, two upper arm pockets and closable Velcro cuffs."
str_cfgvehicles_gorkaejacket_summer0,"$UNT$Upper part of military issued Gorka E uniform, made of warm materials, designed to keep you warm yet flexible. This is in summer colours."
str_cfgvehicles_gorkaejacket_pautrev0,"$UNT$Upper part of military issued Gorka E uniform, made of warm materials, designed to keep you warm yet flexible. This is in tiger colours."
str_cfgvehicles_gorkaejacket_flat0,"$UNT$Upper part of military issued Gorka E uniform, made of warm materials, designed to keep you warm yet flexible. This is in flat colours."
str_cfgvehicles_gorkaejacket_colorbase1,"Military patrol jacket. Made from durable material, suitable to higher altitudes, is designed to keep you warm, yet flexible."
str_cfgvehicles_gorkaejacket_colorbase0,Patrol Jacket
str_cfgvehicles_gorkaejacket_autumn0,"$UNT$Upper part of military issued Gorka E uniform, made of warm materials, designed to keep you warm yet flexible. This is in autumn colours."
str_cfgvehicles_firefighterjacket_colorbase1,Firefighting force uniform jacket. Protects wearer from heat and water and makes him instantly recognizable.
str_cfgvehicles_firefighterjacket_colorbase0,Firefighter Jacket
str_cfgvehicles_firefighterjacket_black0,$UNT$Standard issue of Chernarus Fire-fighting force uniform jacket. Protects wearer from heat and water. This is black coloured.
str_cfgvehicles_firefighterjacket_beige0,$UNT$Standard issue of Chernarus Fire-fighting force uniform jacket. Protects wearer from heat and water. This is beige coloured.
str_cfgvehicles_bubblegoose_red0,$UNT$A quilted red coloured jacket filled with down feathers that can be worn over existing clothing. It is too bulky to allow the wearer to have a vest on at the same time.
str_cfgvehicles_bubblegoose_orange0,$UNT$A quilted orange coloured jacket filled with down feathers that can be worn over existing clothing. It is too bulky to allow the wearer to have a vest on at the same time.
str_cfgvehicles_bubblegoose_green0,$UNT$A quilted green coloured jacket filled with down feathers that can be worn over existing clothing. It is too bulky to allow the wearer to have a vest on at the same time.
str_cfgvehicles_bubblegoose_colorbase1,$UNT$A quilted jacket filled with down feathers that can be worn over existing clothing. It is too bulky to allow the wearer to have a vest on at the same time.
str_cfgvehicles_bubblegoose_colorbase0,$UNT$Down Jacket
str_cfgvehicles_bubblegoose_blue0,$UNT$A quilted blue coloured jacket filled with down feathers that can be worn over existing clothing. It is too bulky to allow the wearer to have a vest on at the same time.
